代码,公司名称,行业板块,现价 ($),市值 (十亿$),滚动PE,PEG,ROE (%),营收增速 (%),股息率 (%),偏离50日线 (%)
COHR,Coherent Corp.,Information Technology,295.83,57.93,71.63,0.92,7.98,33.7,0.0,-0.32
COIN,Coinbase,Financials,195.11,51.48,,2.38,-7.85,-17.3,0.0,14.47
CL,Colgate-Palmolive,Consumer Staples,86.06,68.6,33.88,1.55,267.37,4.9,248.0,-4.62
CMCSA,Comcast,Communication Services,21.91,77.75,7.02,142.98,11.49,-1.2,596.0,-11.87
FIX,Comfort Systems USA,Industrials,1658.91,58.38,40.87,0.55,55.29,50.3,22.0,-0.33
COP,ConocoPhillips,Energy,127.3,155.09,16.82,1.09,14.18,35.5,260.0,0.4
ED,Consolidated Edison,Utilities,103.1,38.13,16.93,2.03,8.96,13.2,342.0,-4.1
STZ,Constellation Brands,Consumer Staples,113.63,19.41,10.82,1.45,23.69,-3.3,361.0,-11.74
CEG,Constellation Energy,Utilities,263.27,93.28,25.74,3.74,15.06,23.0,65.0,-3.12
COO,Cooper Companies (The),Health Care,55.38,10.53,19.03,0.52,6.84,0.6,0.0,-19.02
CPRT,Copart,Industrials,27.59,26.58,17.8,2.76,16.16,2.4,0.0,-9.55
GLW,Corning Inc.,Information Technology,156.74,134.74,72.23,0.92,16.81,16.6,73.0,2.71
CPAY,Corpay,Financials,398.11,26.14,24.22,0.77,29.22,21.5,0.0,-0.21
CTVA,Corteva,Materials,78.52,52.39,47.59,1.03,4.26,-1.2,91.0,-4.66
CSGP,CoStar Group,Real Estate,28.09,11.38,156.06,0.1,0.89,18.4,0.0,-7.62
COST,Costco,Consumer Staples,922.77,409.23,46.37,4.39,28.4,11.1,66.0,-1.23
CRH,CRH plc,Materials,85.04,56.58,15.02,1.5,15.81,5.6,186.0,-9.89
CRWD,CrowdStrike,Information Technology,252.13,258.16,8404.33,8.31,1.46,25.8,0.0,18.58
